Ticker,Price
BNS,63.0431
BOBE,77.01
BOBS,2.9950001
BOCH,11.3
BODY,0
BOFI,41.32
BOH,84.29
BOKF,103.42
BOLT,0
BOOM,40.305
BOTJ,15.23
BP,46.6
BPFH,16.55
BPI,5.7
BPL,40.2197
BPOP,45.74
BR,118.025
BRC,37.4
BRCD,12.73
BRCM,0
BRE,2.9950001
BRKL,17.1
BRKR,30.94
BRKS,29.88
BRLI,34.61
BRO,27.4576
BRS,17.88
BSFT,54.9
BSRR,28.06
BSX,30.14
BT,14.475
BTE,4.6601
BTN,5.15
BUD,95.7
BUSE,30.26
BVN,15.57
BVX,3.77
BWA,51.05
BWLA,15
BWLD,156.95
BWP,10.1611
BWXT,67.8
BXP,123.77
BXS,34.05
BYI,2.9950001
BYLK,17.43
BZ,
BZC,2.9950001
C,72.785
CA,35.33
CAAS,4.335
CAB,31.91
CAC,44.31
CACC,346.2
CACH,0.0017
CACI,163
CAE,19.22
CAG,37.8
CAH,55.46
CAJ,34.69
CAKE,52.5
CAL,35.29
CALM,47.6
CAMT,8.21
CASC1,2.9950001
CASH,105.9
CASS,61.39
CASY,99.74
CAT,155.875
CATM,29.52
CATO,16.27
CATY,41.78
CB,135.83
CB1,2.9950001
CBAN,16.85
CBE,2.9950001
CBI,0
CBKM,22.57
CBL,4.36
CBM,48.15
CBNK,29.61
CBOE,107.17
CBOU,2.9950001
CBPO,83.98
CBRE,47.041
CBRL,157.04
CBS,54.93
CBSH,65.3
CBST,0
CBU,59.76
CBZ,19.5
CCBG,23.3868
CCF,117
CCHBY,2.9950001
CCI,103.51
CCIX,2.9950001
CCJ,11.65
CCL,64.66
CCLP,6.45
CCMP,113.26
CCNE,29.61
CCO,4.65
CCOI,49.4
CCRN,12.1
CCU,27.11
CDE,8.26
CDI,2.9950001
CDNS,42.26
CE,108.17
CEA,41.4246
CEB,
CEBK,2.9950001
CEC,2.9950001
CECE,6.1701
CECO,14.21
CEDU,2.9950001
CEL,7.0551
CELG,86.28
CEMI,8.55
CENT,39.5999
CEO,179.49
CERN,59.54
CETC,2.9950001
CEVA,31.5
CF,40.19
CFFC,2.9950001
CFFI,58.65
CFFN,12.81
CFN,
CFNB,15.65
CFX,32.4
CGA,1.2448
CGI,3.45
CGNX,49.22
CGX,
CHA,48.21
CHBT,2.9950001
CHCI,2.74
CHCO,72.235
CHD,47.18
CHDN,289.725
CHE,329.035
CHEF,27.6
CHEV,15.01
CHFC,56.11
CHG,2.9950001
CHK,3.46
CHKE,0.8482
CHKP,100.495
CHL,47.2105
CHLN,2.9950001
CHMG,48.8
CHMT,
CHOP,0.65
CHRM,2.9950001
CHRW,86
CHS,10.24
CHSI,2.9950001
CHSP,29.9
CHT,36.535
CI,175.75
CIA,7.5
CIG,2.185
CIGI,74.35
CIM,17.985
CINF,71.4
CIVB,23.24
CIX,13.65
CIZN,22
CJES1,2.9950001
CKH,52.305
CKSW,12.595
CL,62.16
CLB,123.59
CLC,2.9950001
CLCT,15.94
CLD,3.235
CLDB,21.47
CLF,8.445
CLFD,11.35
CLH,52.32
CLI,18.13
CLMS,0
CLMT,7.275
CLNY,
CLRO,6
CLS,12.04
CLUB,11.15
CM,90.9
CMA,97.75
CMCSA,32.095
CMD,124.73
CMDI,2.9950001
CME,158.65
CMEDQ,
CMFB,2.9950001
CMG,428.4
CMI,145.27
CMLP1,2.993
CMLSQ,0.032
CMO,8.87
CMOH,2.993
CMP,69.05
CMPR,137.98
CMS,45.36
CMT,14.03
CMTL,30.15
CMTV,17.52
CNA,48.64
CNBKA,80
CNC,115.41
CNGL,2.993
CNH,2.993
CNI,79.35
CNK,36.84
CNL,2.993
CNMD,67.65
CNO,20.125
CNOB,26.15
CNP,26.63
CNQ,36.81
CNRB,2.993
CNS,40.23
CNSL,11.49
CNTF,2.12
CNTY,8.59
CNU,2.993
CNVO,2.993
CNVR,0
CNW,2.993
CNX,15.955
CO,9.68
COBK,13.59
COBR,2.993
COBZ,21.01
CODI,15.725
COF,93.01
COHR,176.945
COHU,23.74
COKE,127.58
COL,135.39
COLB,41.8
CONM,2.993
COO,235
COOL,26.86
COP,69.7
CORR,37.01
COST,195.98
COT,15.97
COV,2.993
CPA,113.81
CPB,40.53
CPF,29.51
CPHC,15.395
CPHD,0
CPHI,0.2759
CPIX,6
CPK,77.2
CPLA,90.65
CPLP,3.16
CPRT,55.44
CPS,125.2
CPSI,31.625
CPT,86.515
CPTP,14.51
CPWM,2.993
CPWR,0.2
CR,86.829
CRAI,56.45
CRDA,2.993
CRDN,2.993
CREE,42.5
CRH,36.355
CRI,106.33
CRL,107.465
CRMT,54.3
CRMZ,2.03
CROX,15.98
CRR,10.67
CRRC,2.993
CRUS,39.4
CRVL,51.7
CRVP,0.9652
CRWN,0
CRWS,5.9
CRY,24.75
CRYP,2.9950001
CS,16.9
CSBB,38
CSBK,15.65
CSC,35.31
CSCO,46.025
CSGP,392.225
CSGS,39.34
CSH,12.9
CSL,106.28
CSS,15.75
CSU,10.92
CSV,25.68
CSX,63.24
CTAS,183.57
CTBI,49.35
CTCM,0
CTCT,32.01
CTG,6.68
CTHR,1.29
CTL,19.365
CTRP,43.67
CTRX,0
CTS,31
CTSH,76.6299
CTWS,66.27
CTXS,106.97
CUB,69.95
CULP,30
CVA,15.65
CVBF,22.75
CVBK,2.993
CVCO,176.625
CVD,
CVE,10.995
CVG,24.435
CVGW,93.65
CVH,2.993
CVI,41.19
CVLT,69.65
CVLY,29.56
CVS,65.94
CVV,8
CVX,130.085
CW,134.29
CXDC,4
CXS,2.993
CXW,20.8301
CY,16.385
CYAN,4.25
CYBE,16.5
CYBI,2.993
CYBX,0
CYH,4.415
CYMI,2.993
CYN,2.993
CYOU,19.34
CYRN,2.9314
CYT,2.993
CZFS,62.11
CZNC,24.89
CZWI,13.8725
DAKT,9.35
DAN,23.78
DAR,17.41
DAVE,7.9
DB,13.69
DBD,13.3
DCI,47.17
DCM,25.6
DCOM,19.35
DCP,39.885
DD,
DDC,2.993
DDD,12.12
DDE,1.5879
DDIC,2.993
DDS,72.365
DE,147.43
DEI,38.4497
DEL,
DELL,2.993
DEO,144.54
DEPO,7.545
DEST,2.73
DFG,2.993
DFS,75.78
DFT,
DFZ,0
DG,93.36
DGAS,30.69
DGII,12.1
DGIT,2.993
DGSE,0.735
DGTC,2.993
DGX,102.7
DHI,43.67
DHIL,196
DHR,102.805
DHX,1.6993
DIN,71.21
DIS,102.705
DISCA,23.79
DIT,96.8
DJCO,232.96
DK,49.75
DKS,31.93
DLB,62.68
DLLR,0
DLNO1,2.993
DLTR,94.45
DLX,70.33
DMLP,18.4
DMND,37.56
DMRC,28.8
DNBF,35.231
DO,19.02
DOLNQ,2.993
DORM,65.655
DOV,78.3699
DOX,66.38
DPS,119.68
DPW,0.8773
DRC,2.993
DRCO,2.993
DRE,28.63
DRI,88.065
DRIV,15.52
DRQ,45.15
DSGX,29.9
DSNY,0.1649
DST,83.99
DSW,24.4
DSX,4.39
DTE,102.66
DTG,2.993
DTLK,0
DTSI,2.993
DUF,2.993
DUSA1,2.993
DVA,66.625
DVOXQ,2.993
DWCH,9.2
DWDP,67.46
DWSN,7.69
DX,6.52
DXLG,1.55
DXPE,38.01
DYNT,2.85
DYSL,1.3568
E,39.8
EAT,44.42
EBAY,38.515
EBIX,79.15
EBMT,19.85
EBSB,19.15
EBTC,36.3
EBTX,2.993
EC,23.07
ECHO,28
ECL,146.75
ECOL,58.6
ECPG,44.7
ED,77
EDAC,2.993
EDE,
EDGW,5.66
EDMC,0.003
EDU,94.0249
EDUC,24.55
EE,56.675
EEFT,82.57
EEP,9.95
EEQ,9.365
EF,2.993
EFII,32.7
EFSC,52.8752
EFSI,33.52
EFX,113.89
EGAN,10.5
EGHT,22.225
EGO,0.9641
EGOV,15.475
EGT,2.34
EGY,1.491
EHC,62.81
EHTH,18.45
EIG,40.2
EIHI,2.993
EL,140.32
ELLI,104.33
ELNK,0
ELRC,0
ELSE,3.8811
ELTK,4.12
ELTTY,
EMAN,1.5252
EMC,1.22
EMCF,33.1703
EME,76.4
EMN,106.8
EMR,72.38
ENBP,34.5
ENDP,6.305
ENIA,10.59
ENS,73.95
ENSG,33.15
ENTG,36.275
ENTR,17.5299
ENV,56.5
ENVE,0
EPAY,44.78
EPB,
EPC,43.485
EPHC,2.993
EPIQ,0
EPR,59.93
EQR,62.32
EQY,
ERF,12.23
ERIC,7.785
ERIE,113.74
ERT,2.993
ESBF,0
ESCA,13.655
ESCR,2.993
ESE,55.8
ESEA,2.07
ESI,2.993
ESIC,2.993
ESIO,20
ESL,75.15
ESLT,113.99
ESND,10.12
ESP,29.4699
ESRX,73.7
ESSA,14.82
ESV,6.62
ESXB,8.725
ESYS,0
ETFC,63.47
ETH,23.8
ETM,7.425
ETN,76.77
ETP,18.82
EV,56.66
EVBN,46.7
EVBS,
EVI,39.8
EVOL,3.345
EVR,107.557
EVRI,7.525
EW,138.4
EWBC,70.57
EXC,40.335
EXFO,3.7
EXK,2.93
EXLS,54.59
EXP,106.43
EXPD,72.34
EXPE,114.33
EXPO,90.8
EXPR,8.6128
EXTR,8.22
EXXIQ,2.993
EZCH,0
EZPW,12.925
F,11.235
FAF,53.87
FARO,53.8501
FAST,51.5
FBIZ,25.9
FBMI,2.993
FBNC,40.04
FBSS,21.24
FC,26.2
FCAP,37.1
FCBC,32.15
FCCO,23.4
FCCY,21.15
FCF,15.57
FCFS,88.75
FCLF,12.5
FCN,59.49
FCNCA,444.3
FCS,2.993
FCX,16.145
FDBC,50.99
FDEF,61.165
FDO,2.993
FDP,47.0533
FDS,195.84
FDX,252.01
FE,33.915
FEIC,2.993
FELE,45.2
FF,11.67
FFBC,32.025
FFCO,0
FFFD,2.9950001
FFG,77.75
FFIC,25.8
FFIN,52.15
FFIV,172.98
FFKT,51.75
FFNM,11
FHN,18.97
FIBK,41.4
FICO,177.64
FII,24.84
FINL,13.56
FIRE,2.993
FIS,104.88
FISI,31.45
FISV,72.95
FITB,34.005
FIZZ,88.22
FL,42.93
FLEX,14.805
FLIC,24.6
FLIR,55.13
FLL,3.39
FLO,22.28
FLR,46.91
FLS,44.54
FLT,203.07
FLWS,12.175
FLXS,37.41
FLY,14.5
FMAO,42.49
FMBH,37.51
FMBI,25.09
FMBM,36
FMC,90.405
FMCB,689
FMCN,2.99
FMER,2.99
FMNB,15.3
FMS,50.96
FMX,86.55
FN,36.03
FNB,13.36
FNF,38.01
FNFG,
FNGN,44.575
FNLC,27.8166
FNSR,16.84
FOR,22.25
FORR,41.6
FORTY,33.3071
FOSL,18.85
FOX,37.44
FPAY,4.26
FPPP,0.15
FRAF,35.9
FRAN,5.655
FRED,1.71
FREVS,15.9999
FRF,2.99
FRM,2.99
FRME,44.25
FRNK,
FRPH,57.65
FRS,2.99
FRT,117.97
FRX,2.99
FSBI,2.99
FSCI,2.99
FSFG,72.29
FSIN,2.99
FSTR,22.55
FTEK,1.195
FTK,3.6
FTNT,60.3584
FTR,9.19
FUBC,2.99
FUEL1,2.99
FUL,51.49
FULL,
FULT,17.325
FUN,65.095
FUNC,20.9273
FUR,24.73
FVE,1.234
FWLT,2.99
FWRD,56.8
FWV,
FXCB,
FXS,109.9899
G,30.92
GA,2.99
GABC,35
GAIN,11.2499
GAME,
GAS,2.99
GASS,4.16
GBCI,38.55
GBL,26.82
GCBC,30.95
GCO,43.7676
GCOM,2.99
GD,202.75
GDI1,2.99
GDOT,72.56
GE,14.69
GEF,59.94
GEGSQ,2.99
GEL,21.52
GENE,1.21
GENTY,2.99
GEOS,11
GES,24.3257
GFED,23.75
GFI,3.87
GG,13.755
GGB,4.905
GGG,45.86
GHC,600
GHDX,38.28
GHL,25.15
GIB,60.45
GIL,28.898
GILD,67.41
GIS,42.62
GIVN,2.99
GK,2.99
GLBZ,11.925
GLDC,2.99
GLDD,4.92
GLFMQ,2.99
GLNG,33.66
GLPW,2.1
GLT,16.64
GLUX,0.12
GLW,28.04
GM,36.75
GMAN,
GME,12.92
GMKYY,2.99
GNC,3.35
GNET,2.99
GNI,
GNRC,49.13
GNTX,23.24
GNW,3.15
GOGL,8.77
GOLD,80.2
GOOGL,1115.675
GORO,5.45
GPC,91.31
GPI,69.14
GPIC,8.1907
GPK,14.19
GPN,115.83
GPRE,19.7
GPRO1,2.99
GPS,30.09
GPX,19.7
GR,2.99
GRA,71.77
GRC,33.1
GRFS,22.96
GRMN,58.95
GROW,2.58
GS,244.455
GSB,3.7
GSBC,55.25
GSH,30.32
GSIT,7.47
GSK,40.2099
GSKNF,2.99
GSL,1.415
GSM1,2.99
GSOL,
GTAT,
GTE,3.33
GTLS,61.04
GTN,11.825
GTS,33.215
GTWN,26
GVA,57.3
GVP,3.3
GWR,77.08
GWW,294.29
H,81.69
HAE,88.02
HAFC,28.05
HAIN,27.3
HAL,52.7
HAR,2.99
HAS,86.97
HAYN,39.15
HBAN,15.07
HBCP,44.36
HBHC,51.35
HBI,16.95
HBIA,57
HBIO,4.95
HBNC,29.7
HBNK,
HCC1,2.99
HCKT,15.99
HCOM,29.28
HCP,23.94
HCSG,37.99
HD,190.49
HDB,100.44
HE,33.805
HEI,92.02
HELE,92.1
HEOP,0
HF,34.27
HFBC,14.951
HFBL,32
HFC,68.91
HFFC,
HFWA,31.65
HHC,132.51
HHS,10.4438
HI,46.475
HIBB,27.3
HIG,52.33
HIHO,4.9656
HIMX,7.025
HITK,2.99
HITT,
HIW,46.16
HLF,111.03
HLIT,3.825
HLX,7.95
HMA,2.99
HMC,33.4638
HMN,42.7
HMNY,0.6848
HMSY,21.16
HMTA,12.16
HNGR,18.22
HNI,35.86
HNNA,19.15
HNP,26.69
HNRG,7.29
HNT,2.99
HNZ,2.99
HOFD,53.75
HOFT,37.55
HOG,40.77
HOLX,38.105
HOMB,23.3475
HON,147.65
HOPE,18.01
HOT,139.6
HP,69.5498
HPQ,22.685
HPT,27.79
HPY,2.99
HRB,27.915
HRC,89.13
HRG,11.83
HRL,36.06
HRS,154.81
HSBC,50.315
HSH,2.99
HSIC,73.0575
HSKA,94.24
HSNI,282.3
HSON,1.83
HSTM,27.33
HSY,92.29
HTBK,16.67
HTLD,18.15
HTLF,54.2
HTS,2.991
HTSI,2.991
HTZ,17.2794
HUBB,104.72
HUBG,47.2
HUM,287.89
HUN,31.83
HURN,36.8
HUSKF,14.615
HVT,19.55
HWBK,21.863
HWCC,7.85
HWKN,31.95
HXL,69.91
IAC,147.57
IAG,6.18
IART,64.3
IBAL,2.0001
IBCA,
IBI,2.991
IBM,144.56
IBOC,41.85
ICE1,2.991
ICFI,65.2373
ICON,0.648
ICPW,2.991
ICUI,265
IDT,5.22
IDTI,30.885
IDXX,211.475
IEC,5.45
IEP,66.96
IEX,138.64
IFF,126.22
IGT1,2.991
IGTE,
IHC,34.8748
IHG,64.85
IHRC,2.991
IHS,2.991
IIJI,9.21
IIVI,45.25
IKNX,9.1574
ILG,34
ILMN,272.1799
IM,2.991
IMH,8.531
IMKTA,28.25
IMO,32.85
INDB,73.9
INFA,
INFY,17.745
ING,16.181
INGR,111.36
ININ,21.16
INMD,2.991
INTC,55.01
INTL,46.37
INTT,7
INTU,195.335
INTX,2.34
INWK,8.88
IOSP,74.5
IP,53.63
IPCC,139.05
IPCM,
IPG,24.23
IPGP,254.5
IPHI,33.6
IPHS,46.5
IPI,4.195
IQNT,2.991
IR,89.495
IRBT,62.954
IRCP,35.57
IRET,5.27
IRF,2.991
IRIX,7.01
IRM,33.4402
IRS,20.37
ISBC,13.44
ISCA,41.15
ISDR,16.85
ISIL,
ISLE,33.6
ISRG,470.3
ISSC,2.99
ISSI,
IT,134.05
ITEX,4
ITGR,66.25
ITIC,192.84
ITNM,5.5
ITRN,31.1
ITW,145.655
IVDN,0.32
IVR,16.06
IVZ,28.385
IXYS,
JAH,
JAKK,2.5036
JAXR,2.991
JAZZ,166.755
JBHT,124.69
JBL,27.71
JBLU,18.89
JBSS,63.27
JBT,87.6
JCOM,86.44
JCS,3.3302
JCTCF,15.55
JDAS,2.991
JEC,63.35
JJSF,137.375
JKHY,123.465
JLL,170.45
JNJ,127.3548
JNPR,26.84
JNS,
JNY,2.991
JOBS,98.99
JOSB,
JOUT,74.61
JOY,
JPM,114.09
JRN,2.991
JUHL,1750
JUVF,20.5
JWA,66.8
JWN,49.2
JXSB,33.55
K,61.44
KAI,95.15
KAMN,69.45
KAR,53.95
KBR,16.97
KCG1,2.991
KCLI,41
KDN,2.991
KELYA,22.24
KEM,20.88
KEX,90.2
KEY,20.205
KEYN,2.991
KEYW,8.14
KFFB,8.5
KFN,2.991
KFRC,32.4
KFY,54.865
KIM,14.385
KINS,17.15
KIRK,10.81
KKD,16.485
KLAC,112.25
KLIC,22.905
KMB,104.33
KMG,63.8317
KMI,16.635
KMP,
KMT,38.94
KNDI,6.037
KNL,19.71
KNM,2.991
KNOL,2.991
KNSY,2.991
KNX,40.735
KNX1,2.9950001
KO,42.125
KOF,60.505
KONA,2.8607
KOP,39
KOPN,3.31
KOSS,2.3737
KR,24.6758
KRA,46.8
KRNY,14.075
KRO,23.6
KS,34.33
KSS,61.155
KSU,109.4
KSW,2.991
KT,13.19
KTEC,26.74
KTYB,47.9
KUBTY,86.062
KWR,149.52
KYO,61.76
L,51.695
LABC,2.991
LABL,63.5
LAMR,67.23
LANC,127.165
LARK,28.25
LAZ,55.16
LB,33.61
LBAI,19.675
LBY,6.63
LCII,88.15
LCNB,19
LCUT,10.95
LDL,40.8
LDOS,62.77
LDR,
LEA,198.19
LECO,88.445
LEG,41.955
LF,
LFC,14.44
LFUS,216.1
LGHS,2.991
LGL,5.36
LH,177.12
LIFE2,2.991
LII,203.625
LINU,0.62
LION,22.98
LIWA,0.0016
LKFN,48.265
LKQ,30.45
LL,21.32
LLL,191.89
LLTC,58.01
LLY,83.01
LM,39.21
LMAT,33.39
LMIA,
LMLP1,2.99
LMNX,26.01
LMT,319.7249
LNBB,
LNC,68.345
LNCE,49.98
LNCR,2.99
LNDC,13.15
LNKD,2.99
LNN,94.44
LNT,41.5447
LOAN,7.455
LOGI,40.82
LOGM,113.95
LONG,
LOOP1,2.9950001
LOPE,108.1519
LOW,86.2693
LPHI,2.99
LPLA,69.4461
LPNT,54.7
LPS,2.99
LPSB,2.99
LPSN,18.3
LPT,43.54
LQDT,5.55
LRAD,2.3501
LRCX,206
LRN,15.17
LSBG,
LSBI,2.99
LSBK,17.4031
LSCC,5.5
LSI1,2.99
LSTR,110.1
LTM1,2.9950001
LTRE,1.6
LTXB,43.32
LUB,2.57
LULU,98.3
LUV,52.233
LUX,2.99
LVB,2.99
LVS,77.26
LWAY,4.87
LXK,2.99
LXU,5.8
LYB,111.68
LZB,29.8
M,29.77
MA,193.84
MAGS,5.14
MAMS,8.171
MAN,95.29
MANH,44.79
MANT,53.01
MARPS,3.6
MASC,2.99
MASI,98.125
MAT,14.41
MATW,51.8
MATX,33.885
MAYS,40
MBCN,52.15
MBFI,43.19
MBND,2.99
MBVT,
MBWM,35.205
MCBC,11.12
MCD,165.88
MCF,4.25
MCHP,93.79
MCHX,2.71
MCK,151.02
MCRI,43.6029
MCRL,2.991
MCRS,
MCS,32.25
MCY,45.73
MCZ,2.991
MD,46.39
MDCI,
MDCO,30.64
MDF,2.991
MDLZ,39.315
MDP,49.15
MDRX,12.525
MDSO,77.9
MDT,86.12
MDU,28.25
MEA,2.991
MEAS,
MED,126.065
MEDW,2.991
MEI,42.2
MELI,307.92
MENT,2.991
MEOH,69.55
MET,46.985
METR,
MFA,7.665
MFC,19.403
MFCB,6.285
MFCO,0.6502
MFG,3.67
MFI,
MFIN,3.82
MFLR,2.991
MFN,2.9950001
MFNC,15.66
MFRM,2.991
MFSF,37
MG,18.34
MGA,65.17
MGAM,2.991
MGEE,57.8
MGIC,8.138
MGLN,88.15
MGM,32.085
MHH,15.92
MHK,210.77
MHLD,8.025
MHS,2.991
MIC,37.93
MIDD,106.94
MIG,2.991
MINI,45
MIPS,2.991
MITL,11.14
MKC,107.02
MKL,1152.94
MKRS,0.385
MKSI,116.15
MKTG,2.991
MKTX,204.25
MLAB,170.41
MLCO,31.08
MLHR,32.3
MLI,29.225
MLM,214.69
MLNX,84.9
MLR,25.35
MMC,81.7736
MMLP,14.55
MMM,205.81
MMP,69.06
MMS,62.15
MNDO,2.26
MNR,15.38
MNRO,54.2
MNST,49.15
MNTA,21.169
MO,55.25
MOBI,2.991
MOC,1.56
MOCO,2.991
MODL,2.991
MOFG,32.98
MOGA,84.715
MOH,85.25
MOLX,2.991
MON,124.91
MORN,111.95
MOS,27.1
MOV,39.57
MOVE,2.991
MPAA,21.24
MPAC1,2.991
MPAD,7.9
MPC,77.66
MPR,2.991
MPW,13.405
MPWR,127.25
MPX,15.9
MR,2.991
MRCY,34.54
MRK,59.9299
MRO,21.385
MRTN,20.85
MRVL,21.97
MRX,2.991
MS,55.35
MSA,90.64
MSB,24.0625
MSBF,18.731
MSCC,67.63
MSCI,160.5
MSFG,40.65
MSFT,98.575
MSI,108.44
MSL,14.4
MSM,91.48
MSN,1.49
MSTR,128.58
MTB,184.925
MTD,569.81
MTGE,19.75
MTN,239.49
MTRN,54.9999
MTRX,17.6
MTSC,52.05
MTSL,1.344
MTX,71.3
MU,52.995
MUFG,6.66
MWIV,2.991
MWW,
MXIM,58.01
MYE,22.5
MYGN,34.335
MYL,38.41
NAFC,2.991
NAII,10.6
NANO,37.8
NATH,78.35
NATI,42
NATL,
NATR,9.2252
NAUH,0.96
NAVG,59
NBBC,2.991
NBTB,37.47
NBTF,2.991
NC,35
NCI,23.32
NCIT,2.991
NDAQ,90.9
NDN,2.991
NDSN,134.08
NDZ,
NEBS,2.991
NECB,10.95
NEI,2.991
NEM,40.48
NEOG,72.705
NEU,370.05
NEWP,
NEWS,
NEWT,18.93
NFBK,15.8
NFLX,329.98
NFP,2.991
NFSB,2.991
NGLS,2.991
NHC,63.91
NHI,70.21
NICE,100.55
NICK,8.8
NILE,2.991
NJDCY,40.06
NJR,43.65
NKA,2.991
NKE,68.47
NKSH,46.6
NL,7.35
NLS,15.75
NLSN,30.26
NLY,10.42
NMM,1.95
NNI,59.66
NNUTU,2.375
NOC,321.5028
NOR,
NOV,41.07
NOVB,
NOVT,63
NP,80.7
NPBC,2.991
NPD,2.991
NPK,100.6
NPO,72.68
NRC,34.325
NRP,32.45
NSC,151.75
NSIT,45.295
NSM1,2.991
NSP,86.85
NSR,
NSSC,11.75
NST,2.991
NSU,3.482
NTAP,71.56
NTCT,27.175
NTES,268.52
NTGR,56.5
NTIP,2.825
NTRI,31.35
NTSP,2.991
NTTYY,49.29
NTWK,4.9999
NUAN,13.005
NUE,62.59
NUS,77.62
NUTR,
NVDA,257.81
NVE,2.991
NVEC,102.495
NVLS1,2.991
NVMI,28.01
NVS,78.35
NVSL,
NWBI,16.67
NWE,53.56
NWFL,30.5
NWIN,44
